Title,Company,Position,Deadline,Employment Type,Salary,Work Location,Grade,Stack,Link
[MiNER] 서버 개발자,마이너,서버/백엔드,상시,,,"서울시 관악구 호암로 597
지도보기·주소복사",무관,"['JavaScript', 'Node.js', 'Flask', 'Django', 'Apache HTTP Server', 'MySQL', 'ExpressJS', 'REST API', 'AI/인공지능', 'GitHub']",https://www.jumpit.co.kr/position/8775
블록체인 엔지니어(Blockchain Engineer) 정규직 모집,스탬퍼,서버/백엔드,상시,,,"서울 강남구 테헤란로20길 9, 10층
지도보기·주소복사",대학교졸업(4년) 이상(졸업예정자 가능),"['Linux', 'AWS', 'GCP', 'blockchain']",https://www.jumpit.co.kr/position/13572
AI 인프라 서비스 개발자,애자일소다,서버/백엔드,상시,,,"서울 강남구 선릉로 525 인포스톰 3층
지도보기·주소복사",무관,"['Java', 'Python', 'TypeScript', 'Spring', 'Flask', 'Node.js']",https://www.jumpit.co.kr/position/16543
플랫폼 백엔드 개발자,111퍼센트,서버/백엔드,상시,,,"서울 강남구 테헤란로 152, 33층
지도보기·주소복사",무관,"['Node.js', 'REST API', 'TypeScript', 'NoSql', 'NestJS', 'Mongoose', 'MongoDB']",https://www.jumpit.co.kr/position/7100
[팬플러스] 백엔드(Node.js) 개발자 병역특례_보충역 모집,팬마음,서버/백엔드,상시,,,"서울시 강남구 역삼로3길 17-6, 10층
지도보기·주소복사",무관,"['REST API', 'AWS', 'Node.js', 'Git']",https://www.jumpit.co.kr/position/9205
전자결제서비스(PG) PHP 개발자 모집,유디아이디,서버/백엔드,상시,,,"서울시 구로구 디지털로 26길 61, 1202호
지도보기·주소복사",무관,"['PHP', 'MySQL', 'MongoDB', 'Laravel', 'GitLab', 'JavaScript', 'jQuery']",https://www.jumpit.co.kr/position/7718
[PAY] C# 백엔드 개발자,콰가,서버/백엔드,상시,,,"서울 강서구 마곡중앙로 165
지도보기·주소복사",무관,"['REST API', 'MSSQL', 'C#']",https://www.jumpit.co.kr/position/3165
C# 개발자,넥서스커뮤니티,서버/백엔드,상시,,,"서울 영등포구 여의대로 108 파크원 타워2 19층
지도보기·주소복사","대학졸업(2,3년) 이상","['Oracle', 'MariaDB', 'C#', 'Windows', 'Visual Studio']",https://www.jumpit.co.kr/position/10619
[신입] 백엔드 개발자,엔엑스테크놀로지,서버/백엔드,상시,,,"[본사]울산광역시 울주군 범서읍 대리2길 57, 5층 (OS빌딩), [지사]서울 마포구 월드컵북로 396 누리꿈스퀘어 R&D타워 1104호
지도보기·주소복사",무관,"['Node.js', 'MongoDB', 'AWS', 'Docker', 'REST API', 'Java', 'RDB', 'NoSql', 'Linux']",https://www.jumpit.co.kr/position/7936
[ESTsoft] 백엔드 개발자 (신입),이스트소프트,서버/백엔드,상시,,,"서울 서초구 반포대로 3
지도보기·주소복사",무관,"['Spring Framework', 'Java', 'Kotlin', 'Python', 'MariaDB', 'MongoDB', 'Redis', 'RabbitMQ']",https://www.jumpit.co.kr/position/16756
[인터뷰박스x알고리즘잡스] 부트캠프 IT강사 채용,에이블제이,서버/백엔드,상시,,,"서울 강남구 테헤란로1길 28-9, 성은빌딩 4층
지도보기·주소복사",무관,"['Java', 'Spring Boot', 'MySQL', 'jQuery', 'AWS', 'Mybatis']",https://www.jumpit.co.kr/position/15895
블록체인 게임 플랫폼 백엔드 개발자,위메이드,서버/백엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
지도보기·주소복사",무관,"['Blockchain', 'Go', 'Java', 'Node.js', 'Golang', 'REST API']",https://www.jumpit.co.kr/position/14808
보안 솔루션 및 플랫폼 개발자 채용,모니터랩,서버/백엔드,상시,,,"서울특별시 구로구 디지털로 27가길 27 아남빌딩 8, 9층
지도보기·주소복사",대학교졸업(4년) 이상(졸업예정자 가능),"['C', 'C++', 'Go', 'Linux', 'Kubernetes', 'Docker', 'Git', 'Java', 'Python']",https://www.jumpit.co.kr/position/3973
Node 서버 개발자(병역특례_보충역 지원가능),아이티엘,서버/백엔드,상시,,,"서울특별시 서초구 바우뫼로 175, 4층,5층(양재동,창덕빌딩)
지도보기·주소복사",무관,"['JavaScript', 'GitHub', 'Docker', 'AWS', 'MySQL', 'Node.js', 'Amazon EC2', 'Amazon RDS', 'Amazon S3']",https://www.jumpit.co.kr/position/6609
JAVA 개발자 경력직 모집,에코앤파트너스,서버/백엔드,상시,,,"(07807) 서울 강서구 마곡중앙1로 14 (마곡동, M밸리 W TOWER Ⅳ) 6층
지도보기·주소복사",대학교졸업(4년) 이상,"['Java', 'JavaScript', 'Spring', 'Oracle', 'MSSQL', 'MySQL']",https://www.jumpit.co.kr/position/14243
[웨이즈원] 내비게이션 지도 및 소프트웨어 개발,웨이즈원,서버/백엔드,상시,,,"경기 의왕시 이미로 40, D동 521호
지도보기·주소복사",대학교졸업(4년) 이상,"['C', 'SW', 'deeplearning']",https://www.jumpit.co.kr/position/14471
[O2pluss] Back-end 개발자 추가 모집,오투플러스,서버/백엔드,상시,,,"경기 용인시 수지구 신수로 767, A동 22층
지도보기·주소복사",무관,"['PHP', 'Laravel', 'RDB', 'MySQL', 'RabbitMQ', 'Elasticsearch']",https://www.jumpit.co.kr/position/6812
서버/백엔드 개발자 신입/경력 채용,써모랩코리아,서버/백엔드,상시,,,"서울시 강남구 강남대로 114길 8 (논현동) 능인빌딩 6층
지도보기·주소복사",무관,"['Java', 'Spring Boot', 'REST API', 'MySQL', 'Git', 'AWS']",https://www.jumpit.co.kr/position/10739
백엔드(Node.js) 개발자,클라썸,서버/백엔드,상시,,,"서울 강남구 테헤란로2길 27, 14층 1401호
지도보기·주소복사",대학교졸업(4년) 이상(졸업예정자 가능),"['AWS', 'GCP', 'Node.js', 'JavaScript', 'TypeScript', 'RDB', 'NoSql', 'WebSocket', 'Socket.IO', 'MSA']",https://www.jumpit.co.kr/position/13709
플랫폼 서버 개발,위메이드,서버/백엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
지도보기·주소복사",무관,"['PHP', 'Java', 'Node.js', 'RDB', 'MySQL', 'AWS', 'GCP', 'AZURE', 'REST API']",https://www.jumpit.co.kr/position/12973
[H2OKOREA] 솔루션개발본부_백엔드 개발자,에이치투오호스피탈리티,서버/백엔드,상시,,,"서울시 강남구 논현로 98길 28, 2층(역삼동)
지도보기·주소복사",무관,"['java', 'spring', 'mysql', 'mariadb']",https://www.jumpit.co.kr/position/15379
게임 서버 프로그래머,에이스프로젝트,서버/백엔드,상시,,,"서울 중구 을지로 264 11층
지도보기·주소복사",무관,"['Java', 'Spring Framework', 'Linux', 'MySQL', 'Redis', 'AWS']",https://www.jumpit.co.kr/position/16922
백엔드 개발자 채용,파인더스,서버/백엔드,상시,,,"경기도 성남시 수정구 복정로 9 경호빌딩 501호
지도보기·주소복사",무관,"['Java', 'Spring Boot', 'Spring Data JPA', 'MariaDB', 'NestJS', 'MongoDB']",https://www.jumpit.co.kr/position/16929
