공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
클라우드/MSA/A.I. 플랫폼 개발자,시프트원,백엔드,상시,,,"서울 강남구 역삼로17길 9, 201호 / 동탄 (S전자) / 정자 (OO하이닉스)
·",대학교졸업(4년) 이상,"[""Kubernetes"", ""Python"", ""Go"", ""Git"", ""Argo"", ""Docker"", ""MSA""]",https://www.jumpit.co.kr/position/4334
서버/백엔드 개발자 정규직 신입 채용,디지타이드,백엔드,상시,,,"서울 종로구 사직로8길 34, 718호
·","대학졸업(2,3년) 이상","[""Linux"", ""C / C++""]",https://www.jumpit.co.kr/position/4664
[MiNER] 서버 개발자,마이너,백엔드,상시,,,"서울 관악구 호암로 597
·",무관,"[""JavaScript"", ""Node.js"", ""Flask"", ""Django"", ""Apache"", ""MySQL"", ""ExpressJS"", ""기술이 아님"", ""Git""]",https://www.jumpit.co.kr/position/8775
블록체인 엔지니어(Blockchain Engineer) 정규직 모집,스탬퍼,백엔드,상시,,,"서울 강남구 테헤란로20길 9, 10층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Linux"", ""AWS"", ""GCP"", ""기술이 아님""]",https://www.jumpit.co.kr/position/13572
플랫폼 백엔드 개발자,111퍼센트,백엔드,상시,,,"서울 강남구 테헤란로 152, 33층
·",무관,"[""Node.js"", ""기술이 아님"", ""TypeScript"", ""NoSQL"", ""Nest.js"", ""MongoDB""]",https://www.jumpit.co.kr/position/7100
AI 인프라 서비스 개발자,애자일소다,백엔드,상시,,,"서울 강남구 선릉로 525 인포스톰 3층
·",무관,"[""Java"", ""Python"", ""TypeScript"", ""Spring"", ""Flask"", ""Node.js""]",https://www.jumpit.co.kr/position/16543
[팬플러스] 백엔드(Node.js) 개발자 병역특례_보충역 모집,팬마음,백엔드,상시,,,"서울 강남구 역삼로3길 17-6, 10층
·",무관,"[""기술이 아님"", ""AWS"", ""Node.js"", ""Git""]",https://www.jumpit.co.kr/position/9205
전자결제서비스(PG) PHP 개발자 모집,유디아이디,백엔드,상시,,,"서울 구로구 디지털로 26길 61, 1202호
·",무관,"[""PHP"", ""MySQL"", ""MongoDB"", ""Laravel"", ""Git"", ""JavaScript"", ""jQuery""]",https://www.jumpit.co.kr/position/7718
[PAY] C# 백엔드 개발자,콰가,백엔드,상시,,,"서울 강서구 마곡중앙로 165
·",무관,"[""기술이 아님"", ""MSSQL"", ""C#""]",https://www.jumpit.co.kr/position/3165
C# 개발자,넥서스커뮤니티,백엔드,상시,,,"서울 영등포구 여의대로 108 파크원 타워2 19층
·","대학졸업(2,3년) 이상","[""Oracle"", ""MariaDB"", ""C#"", ""기술이 아님"", ""Visual Studio""]",https://www.jumpit.co.kr/position/10619
[신입] 백엔드 개발자,엔엑스테크놀로지,백엔드,상시,,,"울산 울주군 범서읍 대리2길 57, 5층 (OS빌딩), 서울 마포구 월드컵북로 396 누리꿈스퀘어 R&D타워 1104호
·",무관,"[""Node.js"", ""MongoDB"", ""AWS"", ""Docker"", ""기술이 아님"", ""Java"", ""NoSQL"", ""Linux""]",https://www.jumpit.co.kr/position/7936
[인터뷰박스x알고리즘잡스] 부트캠프 IT강사 채용,에이블제이,백엔드,상시,,,"서울 강남구 테헤란로1길 28-9, 성은빌딩 4층
·",무관,"[""Java"", ""Spring"", ""MySQL"", ""jQuery"", ""AWS"", ""Mybatis""]",https://www.jumpit.co.kr/position/15895
블록체인 게임 플랫폼 백엔드 개발자,위메이드,백엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""기술이 아님"", ""Go"", ""Java"", ""Node.js"", ""Golang""]",https://www.jumpit.co.kr/position/14808
[ESTsoft] 백엔드 개발자 (신입),이스트소프트,백엔드,상시,,,"서울 서초구 반포대로 3
·",무관,"[""Spring"", ""Java"", ""Kotlin"", ""Python"", ""MariaDB"", ""MongoDB"", ""Redis"", ""RabbitMQ""]",https://www.jumpit.co.kr/position/16756
보안 솔루션 및 플랫폼 개발자 채용,모니터랩,백엔드,상시,,,"서울 구로구 디지털로 27가길 27 아남빌딩 8, 9층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""C / C++"", ""Go"", ""Linux"", ""Kubernetes"", ""Docker"", ""Git"", ""Java"", ""Python""]",https://www.jumpit.co.kr/position/3973
Node 서버 개발자(병역특례_보충역 지원가능),아이티엘,백엔드,상시,,,"서울 서초구 바우뫼로 175, 4층,5층(양재동,창덕빌딩)
·",무관,"[""JavaScript"", ""Git"", ""Docker"", ""AWS"", ""MySQL"", ""Node.js""]",https://www.jumpit.co.kr/position/6609
JAVA 개발자 경력직 모집,에코앤파트너스,백엔드,상시,,,"서울 강서구 마곡중앙1로 14 (마곡동, M밸리 W TOWER Ⅳ) 6층
·",대학교졸업(4년) 이상,"[""Java"", ""JavaScript"", ""Spring"", ""Oracle"", ""MSSQL"", ""MySQL""]",https://www.jumpit.co.kr/position/14243
[웨이즈원] 내비게이션 지도 및 소프트웨어 개발,웨이즈원,백엔드,상시,,,"경기 의왕시 이미로 40, D동 521호
·",대학교졸업(4년) 이상,"[""C / C++"", ""기술이 아님""]",https://www.jumpit.co.kr/position/14471
[O2pluss] Back-end 개발자 추가 모집,오투플러스,백엔드,상시,,,"경기 용인시 수지구 신수로 767, A동 22층
·",무관,"[""PHP"", ""Laravel"", ""기술이 아님"", ""MySQL"", ""RabbitMQ"", ""ElasticSearch""]",https://www.jumpit.co.kr/position/6812
서버/백엔드 개발자 신입/경력 채용,써모랩코리아,백엔드,상시,,,"서울 강남구 강남대로 114길 8 (논현동) 능인빌딩 6층
·",무관,"[""Java"", ""Spring"", ""기술이 아님"", ""MySQL"", ""Git"", ""AWS""]",https://www.jumpit.co.kr/position/10739
백엔드(Node.js) 개발자,클라썸,백엔드,상시,,,"서울 강남구 테헤란로2길 27, 14층 1401호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""AWS"", ""GCP"", ""Node.js"", ""JavaScript"", ""TypeScript"", ""기술이 아님"", ""NoSQL"", ""Socket.IO"", ""MSA""]",https://www.jumpit.co.kr/position/13709
플랫폼 서버 개발,위메이드,백엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""PHP"", ""Java"", ""Node.js"", ""기술이 아님"", ""MySQL"", ""AWS"", ""GCP"", ""Azure""]",https://www.jumpit.co.kr/position/12973
[H2OKOREA] 솔루션개발본부_백엔드 개발자,에이치투오호스피탈리티,백엔드,상시,,,"서울 강남구 논현로 98길 28, 2층(역삼동)
·",무관,"[""Java"", ""Spring"", ""MySQL"", ""MariaDB""]",https://www.jumpit.co.kr/position/15379
백엔드 개발자 채용,파인더스,백엔드,상시,,,"경기 성남시 수정구 복정로 9 경호빌딩 501호
·",무관,"[""Java"", ""Spring"", ""JPA"", ""MariaDB"", ""Nest.js"", ""MongoDB""]",https://www.jumpit.co.kr/position/16929
PC Application UX/UI 항공우주부품 시험 플랫폼 개발 및 유지관리,루미르,백엔드,상시,,,"경기 용인시 수지구 신수로 767, A동 1103호
·",대학교졸업(4년) 이상,"[""Java"", ""C / C++"", ""Python"", ""Flask""]",https://www.jumpit.co.kr/position/3397
블록체인 게임 플랫폼 스마트 컨트랙트 개발자,위메이드,백엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""Solidity"", ""기술이 아님""]",https://www.jumpit.co.kr/position/14807
웹/서버 개발자,브로드웨이브,백엔드,상시,,,"서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 620호
·","대학졸업(2,3년) 이상","[""Java"", ""AWS"", ""MQTT"", ""Spring"", ""JavaScript"", ""Ajax"", ""HTML""]",https://www.jumpit.co.kr/position/8537
서버/백엔드 개발자 채용,원투씨엠,백엔드,상시,,,"서울 서초구 양재동 16-6
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Spring"", ""MySQL"", ""기술이 아님"", ""AWS"", ""Azure""]",https://www.jumpit.co.kr/position/8442
웹 백엔드 개발자,알고리고,백엔드,상시,,,"서울 강남구 봉은사로 319, 4층
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Python"", ""Java"", ""Node.js"", ""AWS"", ""기술이 아님"", ""MySQL"", ""MariaDB"", ""PostgreSQL"", ""Oracle""]",https://www.jumpit.co.kr/position/16634
[신입/경력] Java 개발자 모집,유니원아이앤씨,백엔드,상시,,,"서울 영등포구 국회대로70길 19, 대하빌딩 9층
·",무관,"[""Java"", ""Spring"", ""MySQL"", ""HTML"", ""CSS"", ""JavaScript"", ""Mybatis""]",https://www.jumpit.co.kr/position/15821
웹 에이전시 PHP 및 JAVA 웹 개발자 모집,코워커넷,백엔드,상시,,,"서울 은평구 진흥로 182
·",무관,"[""PHP"", ""MySQL"", ""Laravel"", ""Linux"", ""CodeIgniter"", ""Java""]",https://www.jumpit.co.kr/position/2303
"PHP, React.js 개발자 모집",아트맵,백엔드,상시,,,"대구 광역시 북구 호암로 51 삼성창조캠퍼스 벤처오피스동 512호 아트맵
·",무관,"[""PHP"", ""React""]",https://www.jumpit.co.kr/position/8963
게임 플랫폼 백엔드 개발자,밸로프,백엔드,상시,,,"서울 금천구 디지털로130 601호
·",무관,"[""PHP"", ""MySQL"", ""CodeIgniter"", ""Laravel"", ""기술이 아님"", ""Git""]",https://www.jumpit.co.kr/position/13888
PHP 개발자 모집,아트맵,백엔드,상시,,,"대구 광역시 북구 호암로 51 삼성창조캠퍼스 벤처오피스동 512호 아트맵
·",무관,"[""PHP""]",https://www.jumpit.co.kr/position/9407
리눅스 서버 개발자(신입),아이페이지온,백엔드,상시,,,"서울 강남구 테헤란로14길5, 9층
·",대학교졸업(4년) 이상,"[""C / C++"", ""Linux"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15942
게임엔진 엔지니어 백엔드 개발자,알리아스,백엔드,"경남 김해시 관동로 14, 경남콘텐츠기업지원센터 102호
지도보기·주소복사",,,,상시,"[""Unreal Engine"", ""Unity"", ""C / C++""]",https://www.jumpit.co.kr/position/1413
[연구실험장비] 소프트웨어 개발자(서버 개발),제이오텍,백엔드,상시,,,"대전 유성구 테크노2로 153
·",대학교졸업(4년) 이상,"[""Linux"", ""기술이 아님"", ""C / C++"", ""PHP"", ""HTML""]",https://www.jumpit.co.kr/position/16579
"WEB 프론트엔드 개발자 (웹대시보드, 웹관리자)",씨케이스택,프론트엔드,상시,,,"경기 성남시 분당구 판교로255번길 9-22, 510-1호 판교우림W-CITY
·",대학교졸업(4년) 이상,"[""React"", ""jQuery"", ""Vue.JS"", ""Swift"", ""Kotlin""]",https://www.jumpit.co.kr/position/1623
[JNPMEDI] 프론트엔드 개발자 신입 모집,제이앤피메디,프론트엔드,상시,,,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
·",무관,"[""React"", ""JSX"", ""SASS"", ""Git""]",https://www.jumpit.co.kr/position/10505
Front-end Developer 전문연구요원 채용 (석사_병역특례),스탠다임,프론트엔드,상시,,,"서울 강남구 논현로85길 70, 3층
·",석사졸업 이상,"[""ES6"", ""React"", ""D3.js"", ""Redux"", ""Webpack"", ""Babel"", ""기술이 아님"", ""Git""]",https://www.jumpit.co.kr/position/16863
[기그] 프론트엔드 개발자 채용,커넥트핏,프론트엔드,상시,,,"서울 영등포구 의사당대로 83, (오투타워) 여의도위워크 17층
·",무관,"[""Flutter"", ""SQLite"", ""fastlane"", ""gRPC"", ""Protobuf"", ""Git"", ""MQTT""]",https://www.jumpit.co.kr/position/4968
[IoTrust] 디센트 프론트엔드 개발,아이오트러스트,프론트엔드,상시,,,"서울 강남구 선릉로 747 삼성당빌딩 7층
·","대학졸업(2,3년) 이상","[""Node.js"", ""Vue.JS"", ""Webpack"", ""Babel"", ""기술이 아님"", ""Git"", ""Visual Studio Code"", ""HTML"", ""JavaScript"", ""CSS""]",https://www.jumpit.co.kr/position/11324
프론트엔드 개발자 채용,피아스페이스,프론트엔드,상시,,,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
·",대학교졸업(4년) 이상,"[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Vue.JS"", ""Angular"", ""기술이 아님"", ""Git"", ""TypeScript""]",https://www.jumpit.co.kr/position/16897
웹 프론트엔드 (신입),유리프트,프론트엔드,상시,,,"서울 강남구 강남대로 364 미왕빌딩 16층
·",무관,"[""React"", ""Git"", ""Next.js"", ""TypeScript"", ""Firebase"", ""HTML"", ""CSS"", ""JavaScript""]",https://www.jumpit.co.kr/position/12167
프론트엔드 개발자,더블미,프론트엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·",무관,"[""Vue.JS"", ""React"", ""기술이 아님"", ""TypeScript""]",https://www.jumpit.co.kr/position/16514
[서포티] Frontend 개발(신입/경력),린온컴퍼니,프론트엔드,상시,,,"서울 강남구 강남대로 364 13층 1302호
·",무관,"[""React"", ""Redux"", ""JavaScript"", ""HTML"", ""CSS"", ""React Native""]",https://www.jumpit.co.kr/position/8902
웹프론트엔드 및 백엔드 개발자 신입/경력 채용,엠투아이코퍼레이션,프론트엔드,상시,,,"경기 안양시 동안구 시민대로 327번길 11-35
·",대학교졸업(4년) 이상,"[""React"", ""Node.js""]",https://www.jumpit.co.kr/position/14544
[메셔] 프론트엔드 개발자,메셔,프론트엔드,상시,,,"서울 강남구 도산대로 57길 8 승원빌딩 5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""JavaScript"", ""ES6"", ""React"", ""TypeScript"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/14889
[신입] 프론트엔드 개발자(flutter) 모집,띵킹프렌즈,프론트엔드,상시,,,"서울 강남구 역삼로 65길 15, 501호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Flutter"", ""C#"", ""Python"", ""Git"", ""AWS"", ""Firebase""]",https://www.jumpit.co.kr/position/16222
[세이프에듀] php 프론트엔드 개발자 채용,새임,프론트엔드,상시,,,"서울 마포구 양화로 186 LC Tower 4층
·",고등학교졸업 이상,"[""PHP"", ""HTML"", ""CSS"", ""JavaScript"", ""MySQL"", ""Node.js"", ""Android Studio"", ""기술이 아님""]",https://www.jumpit.co.kr/position/12319
프론트엔드 개발자 채용,파인더스,프론트엔드,상시,,,"경기 성남시 수정구 복정로 9 경호빌딩 501호
·",무관,"[""React"", ""React Native"", ""HTML"", ""CSS"", ""SASS"", ""Redux""]",https://www.jumpit.co.kr/position/16932
프론트엔드 개발자,게임듀오,프론트엔드,상시,,,"경기 성남시 수정구 창업로 43 B동 907호
·",대학교졸업(4년) 이상,"[""CSS"", ""HTML"", ""JavaScript"", ""기술이 아님"", ""ES6"", ""React"", ""TypeScript""]",https://www.jumpit.co.kr/position/16880
웹 프론트엔드 개발자 병역특례 보충역 모집,팬마음,프론트엔드,상시,,,"서울 강남구 역삼로3길 17-6 , 10층
·",무관,"[""React"", ""JavaScript"", ""jQuery"", ""Node.js""]",https://www.jumpit.co.kr/position/14346
온라인 시식 커머스 플랫폼 식후경 프론트엔드 개발자,푼타컴퍼니,프론트엔드,상시,,,"서울 강동구 천호대로 1139 964호 (길동, 강동그린타워)
·",무관,"[""JavaScript"", ""React"", ""CSS"", ""HTML"", ""PHP"", ""Vue.JS"", ""기술이 아님"", ""jQuery""]",https://www.jumpit.co.kr/position/2481
플랫폼 서비스 개발 팀원,히비스,프론트엔드,상시,,,"서울 강동구 성내동 19 5층 502호
·",무관,"[""jQuery"", ""JavaScript"", ""ES6""]",https://www.jumpit.co.kr/position/1790
