공고명,회사명,직무,마감일,근무지,기술스택,링크
[서포티] Backend 개발(신입/경력),린온컴퍼니,백엔드,상시 채용,"서울 강남구 강남대로 364 13층 1302호
·","[""Node.js"", ""Java"", ""JavaScript"", ""TypeScript""]",https://www.jumpit.co.kr/position/8901
미디어 서버 개발자,더블미,백엔드,상시 채용,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·","[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git"", ""Nest.js"", ""MSA""]",https://www.jumpit.co.kr/position/16515
[injewelme] node.js 백엔드 신입 개발자 채용,인졀미,백엔드,2023-06-27,"서울 서초구 태봉로 114 801호
·","[""TypeScript"", ""Node.js"", ""PostgreSQL"", ""SQL"", ""AWS""]",https://www.jumpit.co.kr/position/7733
웹프론트엔드 및 백엔드 개발자 신입/경력 채용,엠투아이코퍼레이션,백엔드,상시 채용,"경기 안양시 동안구 시민대로 327번길 11-35
·","[""React"", ""Node.js""]",https://www.jumpit.co.kr/position/14544
PHP 개발자 (운영 및 유지보수),아파트스토리,백엔드,상시 채용,"서울 서초구 강남대로 311, 1007호
·","[""PHP"", ""Git"", ""Docker"", ""JavaScript"", ""MySQL"", ""K8S""]",https://www.jumpit.co.kr/position/5238
[ESTsecurity] 정보보호 백엔드 개발자 (신입/경력),이스트시큐리티,백엔드,상시 채용,"서울 서초구 반포대로 3, 3층
·","[""Python"", ""Django"", ""Docker"", ""Redux"", ""Git""]",https://www.jumpit.co.kr/position/16034
ERP 서비스 개발(C#) 신입/경력 채용,기웅정보통신,백엔드,2023-06-30,"서울 금천구 가산디지털2로 98, 2동 613호, 614호, 615호
·","[""C#"", ""C / C++"", ""MSSQL"", ""Microsoft IIS"", ""CSS""]",https://www.jumpit.co.kr/position/16597
백엔드 서버 개발자,브리치,백엔드,상시 채용,"서울 강남구 역삼동 620 , L1 브리치
·","[""PHP"", ""Redux"", ""Vue.JS"", ""Angular"", ""Git"", ""JavaScript""]",https://www.jumpit.co.kr/position/5421
백엔드 개발자 채용(주니어급),패션플러스,백엔드,2023-06-16,"경기 성남시 분당구 판교로 242, A동 1002호
·","[""MSSQL"", ""SASS"", ""JavaScript"", ""C#"", "".NET""]",https://www.jumpit.co.kr/position/16641
AI반도체 생태계 조성에 필요한 S/W 개발,두다지,백엔드,상시 채용,"경기 성남시 분당구 대왕판교로645번길 12 9층 A06호
·","[""C / C++"", ""Docker"", ""Kubernetes""]",https://www.jumpit.co.kr/position/16477
[신입/경력] 서버 네트워크 엔지니어,에이스랩,백엔드,상시 채용,"서울 강남구 언주로 81길 13 4층
·","[""C / C++"", ""Docker"", ""Linux""]",https://www.jumpit.co.kr/position/14240
플랫폼 백엔드 개발자,111퍼센트,백엔드,상시 채용,"서울 강남구 테헤란로 152, 33층
·","[""Node.js"", ""TypeScript"", ""NoSQL"", ""Nest.js"", ""MongoDB""]",https://www.jumpit.co.kr/position/7100
[GMS] Test Automation Engineer,글로벌모터서비스,백엔드,상시 채용,"서울 강남구 테헤란로 447, 14층
·","[""Python"", ""JavaScript"", ""Kotlin"", ""AWS"", ""Linux""]",https://www.jumpit.co.kr/position/15642
서버/백엔드 신입 및 경력,라온로드,백엔드,상시 채용,"경기 성남시 분당구 판교로 723B동 406-1호
·","[""Go"", ""Python"", ""Java"", ""Node.js"", ""C / C++"", ""MSSQL"", ""MySQL"", ""PostgreSQL""]",https://www.jumpit.co.kr/position/16027
백엔드 개발자 모집,복지용구의료기,백엔드,상시 채용,"전남 순천시 해룡면 순광로218 1층 (수)의료기
·","[""Python"", ""JavaScript"", ""MySQL"", ""Node.js"", ""Electron"", ""Selenium""]",https://www.jumpit.co.kr/position/14797
백엔드 개발자,오더체크,백엔드,상시 채용,"서울 성동구 왕십리로 125, 4층 419호
·","[""Node.js"", ""Sequelize.js"", ""MySQL"", ""ExpressJS"", ""AWS""]",https://www.jumpit.co.kr/position/11624
