,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
209,Full Stack Software Engineer,딥메트릭스,소프트웨어 엔지니어,,,"서울 서울시 관악구 관악로 1, 138동 508호",,"['Git', 'Linux', 'Pytorch', 'Python', 'SQL', 'AWS']",https://www.wanted.co.kr///wd/146584
210,전기차충전기 임베디드 소프트웨어 개발,타디스테크놀로지,"소프트웨어 엔지니어, 임베디드 개발자",,,"서울 성동구 성수일로 10 (성수동1가, 서울숲ITCT지식산업센터)",,"['Git', 'Github', 'Linux', 'React', 'SQL', 'AWS', 'Docker', 'PostgreSQL', 'Flutter']",https://www.wanted.co.kr///wd/147597
211,[신입]시스템엔지니어,매니코어소프트,"소프트웨어 엔지니어, 시스템,네트워크 관리자, 기술지원",,,서울 주소 서울특별시 구로구 디지털로33길 11 에이스테크노타워8차,,"['Git', 'Github', 'Linux', 'C / C++', 'HTML', 'JavaScript', 'Python', 'Bash']",https://www.wanted.co.kr///wd/129063
212,SW 검증 (에너지인프라시스템실/판교(동탄)),슈어소프트테크,"소프트웨어 엔지니어, C,C++ 개발자, QA,테스트 엔지니어",,,경기 ,,"['C / C++', 'C#', 'Java', 'Python', 'OOP', 'C++', '검증', '임베디드 소프트웨어', 'Spring Framework', '테스트 실행', 'JPA', 'Simulink']",https://www.wanted.co.kr///wd/61147
213,SW 검증 (Automotive 시스템실/판교/남양),슈어소프트테크,"소프트웨어 엔지니어, C,C++ 개발자, QA,테스트 엔지니어",,,경기 경기도 성남시 수정구 금토로80번길 37 인피니티타워 E동,,"['C / C++', 'C#', 'Java', 'Python', 'OOP', 'C++', '검증', '임베디드 소프트웨어', 'Spring Framework', '테스트 실행', 'JPA', 'Simulink']",https://www.wanted.co.kr///wd/61135
214,SW 검증 (모빌리티시스템 검증/판교/남양),슈어소프트테크,"소프트웨어 엔지니어, C,C++ 개발자, QA,테스트 엔지니어",,,경기 성남시 수정구 금토로80번길 37(금토동),,"['C / C++', 'C#', 'Java', 'Python', 'OOP', 'C++', '검증', '임베디드 소프트웨어', 'Spring Framework', '테스트 실행', 'JPA', 'Simulink']",https://www.wanted.co.kr///wd/52277
215,SW 검증(우주항공국방기술 검증/판교(용인)),슈어소프트테크,"소프트웨어 엔지니어, C,C++ 개발자, QA,테스트 엔지니어",,,경기 성남시 수정구 금토로80번길 37(금토동),,"['C / C++', 'C#', 'Java', 'Python', 'OOP', 'C++', '검증', '임베디드 소프트웨어', 'Spring Framework', '테스트 실행', 'JPA', 'Simulink']",https://www.wanted.co.kr///wd/52274
216,GNSS/GPS (위성항법) 솔루션 개발자,피피솔,소프트웨어 엔지니어,,,서울 서울특별시 금천구 서부샛길 606 B동 2311호,,"['Git', 'Github', 'MATLAB', 'ExpressJS', 'MySQL', 'React', 'Redis', 'Java', 'Node.js', 'TDD', 'C', 'C++', 'Docker', 'RDBMS', 'NodeJS', 'Spring Boot', 'Visual Studio Code']",https://www.wanted.co.kr///wd/112906
217,소프트웨어 엔지니어,아템드메라키,소프트웨어 엔지니어,,,서울 원격 근무,,[],https://www.wanted.co.kr///wd/119386
218,유니티 (Unity) 개발자 (신입/주니어),머플,소프트웨어 엔지니어,,,"경기 경기도 성남시 분당구 황새울로 216, 2층 221호",,[],https://www.wanted.co.kr///wd/153995
219,[연구실험장비] 소프트웨어 개발자 (응용 소프트웨어),제이오텍,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,대전 대전광역시 유성구 테크노2로 153,,"['.NET', 'iOS', 'C / C++', 'PHP', 'C', '하드웨어', 'C++', '서버', '프로그램 관리', '펌웨어', '임베디드 시스템', '임베디드 소프트웨어', '회로', '서버 관리', '회로 설계', '안드로이드 개발', 'iOS 개발']",https://www.wanted.co.kr///wd/141331
220,Software Engineer (전문연구요원 - 편입(신규) 및 전직),비마이프렌즈,소프트웨어 엔지니어,,,서울 강남구 테헤란로 7길 22 한국과학기술회관 2관,,[],https://www.wanted.co.kr///wd/162111
221,SW 엔지니어 (개발자),코드마인드,"소프트웨어 엔지니어, 자바 개발자",,,"서울 구로구 디지털로 26길 61, 에이스하이엔드타워2차 504호",,"['Linux', 'C / C++', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Scala', 'XML', 'JSP', 'CentOS', 'Ubuntu']",https://www.wanted.co.kr///wd/87889
222,응용프로그램 개발자,플러스파크,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,서울 서울특별시 서초구 청룡마을 3길 2,,"['Git', 'CSS', 'HTML', 'Java', 'JavaScript', 'SQL', 'PostgreSQL', 'Spring Boot', 'ES6']",https://www.wanted.co.kr///wd/145435
223,Unity 개발자,네오사피엔스(타입캐스트),"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,서울 서울시 강남구 삼성동169 대화빌딩5층,,[],https://www.wanted.co.kr///wd/150917
224,백엔드 개발자,네고시오,소프트웨어 엔지니어,,,"서울 서울 강남구 선릉로94길 11, 4층 (삼성동, 삼성2빌딩)",,"['Github', 'Android', 'iOS', 'AWS', 'Go', 'RESTful WebServices', 'React.js', 'Next.js']",https://www.wanted.co.kr///wd/124186
