,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
162,3D AI Researcher(박사급),리콘랩스,"머신러닝, 인공지능(AI)",상시 채용,정규직,,서울 강남구 논현동 111 ,,"['Azure Computer Vision', 'Deep Learning', 'Machine Learning']",https://programmers.co.kr/job_positions/11912
163,프론트엔드 개발자,알로카도스,프론트엔드,상시 채용,정규직,4000 ~ 8000 만원,"서울 강남구 테헤란로 503, (삼성동) 패스트파이브 삼성3호점",,"['ReactJS', 'TypeScript']",https://programmers.co.kr/job_positions/16044
164,프론트엔드 개발자,피유엠피,프론트엔드,상시 채용,정규직,,"서울 강남구 도산대로90길 3, (청담동) , 3층",,,https://programmers.co.kr/job_positions/17067
165,프론트엔드개발자 모집(대구),피유엠피,프론트엔드,상시 채용,정규직,3500 ~ 4500 만원,"서울 강남구 도산대로90길 3, (청담동) , 3층",,"['JavaScript', 'ReactJS']",https://programmers.co.kr/job_positions/17063
166,플랫폼전략 서버(Back-end) 개발자,코콤,"서버/백엔드, 데브옵스",상시 채용,정규직,3000 ~ 6000 만원,서울시 강서구 마곡중앙8로5길 16,,"['Spring', 'Spring Boot', 'AWS EC2', 'AWS S3', 'REST API']",https://programmers.co.kr/job_positions/17005
167,[위메이드XR] 서버 프로그래머,위메이드,"모바일 게임, 게임 서버",23년 05월 31일 23:59까지,정규직,,"경기도 성남시 대왕판교로 644번길 49, 위메이드타워",,['Unreal Engine'],https://programmers.co.kr/job_positions/14416
168,플랫폼전략 모바일 iOS App개발,코콤,iOS,상시 채용,정규직,3000 ~ 6000 만원,서울시 강서구 마곡중앙8로5길 16,,"['iOS', 'Swift', 'REST API']",https://programmers.co.kr/job_positions/17045
169,"프론트엔드, 백엔드 개발자",스매치코퍼레이션,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,,"서울 서초구 법원로4길 11-6, (서초동) ",,"['TypeScript', 'NestJS', 'Python', 'FastAPI', 'ReactJS', 'Next.js', 'Redux.js', 'Tailwind CSS', 'TypeORM', 'Prisma', 'PostgreSQL']",https://programmers.co.kr/job_positions/16992
170,"[전문연구요원] Software Engineer, Extended Reality",버킷플레이스(오늘의집),"안드로이드, iOS",상시 채용,정규직,,"서울특별시 서초구 서초대로74길 4, 25,27층(서초동, 삼성생명서초타워)",,,https://programmers.co.kr/job_positions/13107
171,WebUI SW(프론트/백엔드) 개발자,랑데뷰,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,3500 ~ 6000 만원,"서울 서초구 매헌로8길 39, (양재동) D동 306호",,"['jQuery', 'JavaScript', 'Ajax', 'WebGL', 'PHP', 'HTML', 'MySQL', 'Node.js', 'Git', 'Docker', 'CSS', 'ReactJS', 'Spring']",https://programmers.co.kr/job_positions/16979
172,ROS 기반의 플랫폼 SW 개발자,랑데뷰,"인공지능(AI), 시스템 소프트웨어, 로보틱스 미들웨어",상시 채용,정규직,4000 ~ 6000 만원,"서울 서초구 매헌로8길 39, (양재동) D동 306호",,"['ROS', 'Ubuntu', 'Docker', 'C++', 'Python', 'Git', 'OpenCV']",https://programmers.co.kr/job_positions/16978
173," [전문연구요원] Software Engineer, Android",버킷플레이스(오늘의집),안드로이드,상시 채용,정규직,,"서울특별시 서초구 서초대로74길 4, 25,27층(서초동, 삼성생명서초타워)",,,https://programmers.co.kr/job_positions/11692
174,블록체인 엔지니어,알로카도스,블록체인,상시 채용,정규직,4000 ~ 9000 만원,"서울 강남구 테헤란로 503, (삼성동) 패스트파이브 삼성3호점",,['Solidity'],https://programmers.co.kr/job_positions/16048
175,소프트웨어 엔지니어,에임,"서버/백엔드, 프론트엔드, 데브옵스",상시 채용,정규직,4500 ~ 10000 만원,서울 서초구 강남대로 373 위워크 강남역 1호점 (서초홍우빌딩 12층),,,https://programmers.co.kr/job_positions/15610
